QuestionNumber,Category,MRCPPart,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,WhyA,WhyB,WhyC,WhyD
119,Renal,1,A patient on long-term lithium therapy develops polyuria and polydipsia. Urine osmolality remains low after DDAVP administration. What is the diagnosis?,Cranial diabetes insipidus,Nephrogenic diabetes insipidus,Primary polydipsia,Lithium toxicity,B,"Long-term lithium interferes with aquaporin-2 water channels in the collecting duct, making it resistant to ADH — NEPHROGENIC diabetes insipidus. The key discriminator is that the urine FAILS to concentrate after desmopressin (DDAVP), unlike cranial DI. Amiloride can help by reducing lithium entry into collecting-duct cells.","Cranial DI WOULD respond to DDAVP with urine concentration, which is not seen here.",,"Primary polydipsia would concentrate urine with water deprivation and is due to excess water intake, not ADH resistance.","Lithium 'toxicity' refers to raised serum levels with neurological features; this polyuria is nephrogenic DI, which occurs even at therapeutic levels."
120,Renal,1,A 25-year-old man presents with haematuria and hearing loss. Renal biopsy shows thin and split glomerular basement membranes on electron microscopy. What is the most likely diagnosis?,Thin basement membrane nephropathy,Alport syndrome,IgA nephropathy,Fabry disease,B,"Haematuria with sensorineural HEARING LOSS and a GBM that is thinned and SPLIT/lamellated on electron microscopy is Alport syndrome (most often X-linked, COL4A5 type-IV collagen mutation). It also causes ocular changes (lenticonus) and progresses to end-stage renal disease in affected males.",Thin basement membrane nephropathy causes isolated haematuria with UNIFORMLY thin (not split) GBM and no deafness — a benign course.,,"IgA nephropathy shows mesangial IgA deposits, not GBM splitting with deafness.","Fabry disease is a lysosomal storage disorder (α-galactosidase A) with different renal/systemic features, not GBM splitting with hearing loss."
121,Renal,1,Which type of renal tubular acidosis is associated with hyperkalaemia?,Type 1 (distal) RTA,Type 2 (proximal) RTA,Type 4 RTA (hyporeninaemic hypoaldosteronism),Mixed type 1 and 2,C,"TYPE 4 renal tubular acidosis is the one associated with HYPERKALAEMIA, caused by aldosterone deficiency or resistance (hyporeninaemic hypoaldosteronism), commonly in diabetic nephropathy. Types 1 (distal) and 2 (proximal) RTA cause HYPOkalaemia. Type 4 is managed with fludrocortisone and/or dietary potassium restriction.",Distal (type 1) RTA causes hypokalaemia with an inability to acidify urine and a risk of stones.,"Proximal (type 2) RTA also causes hypokalaemia, from bicarbonate wasting.",,A mixed type 1/2 picture would not be characterised by hyperkalaemia — type 4 is the hyperkalaemic RTA.
122,Renal,2,"A patient with membranous nephropathy presents with sudden onset flank pain, haematuria, and a rise in creatinine. What complication should be suspected?",Renal calculus,Renal vein thrombosis,Urinary tract infection,Renal infarction,B,"Nephrotic syndrome — especially MEMBRANOUS nephropathy — is markedly prothrombotic because anticoagulant proteins (notably antithrombin III) are lost in the urine. Sudden flank pain, haematuria and a rising creatinine should raise suspicion of RENAL VEIN THROMBOSIS, confirmed on CT/MR venography and treated with anticoagulation.",A renal calculus causes colicky pain and haematuria but is not the classic nephrotic-syndrome complication indicated by an acute creatinine rise.,,"A UTI causes dysuria/fever, not this thrombotic presentation.",Renal infarction (arterial) is far less common in nephrotic syndrome than venous thrombosis.
123,Renal,1,Autosomal dominant polycystic kidney disease (ADPKD) is most commonly caused by a mutation in which gene?,PKD1,PKD2,PKHD1,TSC1,A,"Autosomal-dominant polycystic kidney disease is most often caused by PKD1 mutations (chromosome 16), accounting for ~85% of cases and a more severe course with earlier end-stage renal disease than PKD2. Tolvaptan (a vasopressin V2 antagonist) can slow cyst growth in selected rapidly progressing patients.",,"PKD2 accounts for the minority (~15%) and causes milder, later-onset disease.","PKHD1 mutations cause AUTOSOMAL RECESSIVE polycystic kidney disease (a paediatric condition), not ADPKD.","TSC1 mutations cause tuberous sclerosis, a different multisystem disorder."
124,Renal,1,A patient develops AKI after starting an ACE inhibitor. Renal ultrasound shows asymmetric kidneys. What is the most likely underlying diagnosis?,Bilateral ureteric obstruction,Renal artery stenosis,Chronic glomerulonephritis,Reflux nephropathy,B,"An acute rise in creatinine after starting an ACE inhibitor, with ASYMMETRIC kidneys on ultrasound, points to RENAL ARTERY STENOSIS (here unilateral). ACE inhibitors remove the angiotensin-II-mediated efferent constriction that maintains filtration in a hypoperfused kidney, precipitating AKI. Diagnosis is confirmed with CT/MR angiography.","Bilateral ureteric obstruction causes AKI with HYDRONEPHROSIS on ultrasound, not asymmetric kidney size with an ACE-inhibitor trigger.",,"Chronic glomerulonephritis causes symmetrically small kidneys, not the asymmetric picture of unilateral RAS.",Reflux nephropathy causes cortical scarring but is not the classic ACE-inhibitor-precipitated AKI with asymmetric kidneys.
125,Renal,2,A patient with lupus nephritis class IV on biopsy has active proliferative disease. What is the recommended induction therapy?,Prednisolone alone,Mycophenolate mofetil plus prednisolone,Azathioprine plus prednisolone,Rituximab monotherapy,B,Class IV (diffuse proliferative) lupus nephritis is aggressive and needs potent INDUCTION immunosuppression: MYCOPHENOLATE MOFETIL (or cyclophosphamide) PLUS corticosteroids. MMF is often preferred for comparable efficacy with fewer gonadotoxic/haemorrhagic-cystitis side effects than cyclophosphamide.,Prednisolone alone is insufficient to induce remission in proliferative lupus nephritis.,,"Azathioprine is used for MAINTENANCE, not induction, of class IV disease.",Rituximab monotherapy is not standard first-line induction (it is used in refractory cases/combinations).
126,Renal,1,Which electrolyte imbalance is most commonly associated with rhabdomyolysis-induced AKI?,Hypokalaemia,Hyperkalaemia,Hyponatraemia,Hypercalcaemia,B,"Rhabdomyolysis releases intracellular contents into the circulation, and the most dangerous electrolyte disturbance is HYPERKALAEMIA (which can cause fatal arrhythmia). Other features are a very high creatine kinase, hyperphosphataemia, HYPOcalcaemia and metabolic acidosis, with myoglobinuria causing AKI. Aggressive IV fluid resuscitation is the mainstay.","Potassium is RELEASED from damaged muscle, causing hyper- not hypo-kalaemia.",,Hyponatraemia is not the characteristic disturbance of rhabdomyolysis.,"Calcium tends to fall (hypocalcaemia) as it deposits in damaged muscle, not rise."
127,Renal,1,Post-streptococcal glomerulonephritis typically presents how long after a streptococcal throat infection?,Concurrently,1-3 weeks later,6-8 weeks later,3-6 months later,B,Post-streptococcal glomerulonephritis typically presents 1–3 WEEKS after a streptococcal throat infection (or 3–6 weeks after skin infection). It is immune-complex mediated with a LOW C3 (normal C4) and usually resolves fully in children. The latent interval distinguishes it from the synpharyngitic haematuria of IgA nephropathy.,"Concurrent haematuria (with the infection) is the pattern of IgA nephropathy, not post-streptococcal GN.",,6–8 weeks is longer than the typical 1–3-week (throat) latency.,3–6 months is far too long for the post-streptococcal interval.
128,Renal,2,"A dialysis patient has persistent hyperphosphataemia despite phosphate binders, secondary hyperparathyroidism (PTH 120 pmol/L), and a calcium of 2.8 mmol/L. Cinacalcet has failed. What is the next step?",Increase calcium-based phosphate binders,Start alfacalcidol,Parathyroidectomy,Increase dialysis frequency alone,C,"Refractory secondary/tertiary hyperparathyroidism in a dialysis patient — persistent hyperphosphataemia, a very high PTH and now HYPERcalcaemia — that has failed medical therapy (phosphate binders, vitamin-D analogues, cinacalcet) is an indication for PARATHYROIDECTOMY (subtotal, or total with autotransplantation). Surgery removes the autonomous parathyroid tissue driving the disorder.",Increasing CALCIUM-based binders would worsen the hypercalcaemia.,Alfacalcidol (active vitamin D) raises calcium and would aggravate hypercalcaemia in this refractory setting.,,Intensifying dialysis alone will not control autonomous parathyroid overactivity that has failed medical therapy.
129,Renal,1,A patient has a urine dipstick showing protein 3+ but no blood. Serum albumin is 15 g/L. 24-hour urine protein is 12g. Which glomerular disease is the most common cause of nephrotic syndrome in adults?,Minimal change disease,Membranous nephropathy,Focal segmental glomerulosclerosis,IgA nephropathy,B,"MEMBRANOUS NEPHROPATHY is the commonest cause of PRIMARY nephrotic syndrome in adults (particularly of white ethnicity); anti-PLA2R antibodies are found in ~70% of primary cases. (FSGS predominates in black adults, and minimal change in children.) It presents with heavy proteinuria and hypoalbuminaemia, as here.","Minimal change disease is the commonest cause in CHILDREN, not adults.",,"FSGS is the leading cause particularly in black adults, but membranous is the commonest overall primary cause in adults.",IgA nephropathy usually causes haematuria rather than nephrotic-range proteinuria.
130,Renal,1,Contrast-induced nephropathy risk can be reduced by which intervention?,IV N-acetylcysteine,Pre-hydration with IV 0.9% saline,Prophylactic haemodialysis,Mannitol infusion,B,"The best-evidenced way to reduce contrast-induced nephropathy is peri-procedural PRE-HYDRATION with intravenous isotonic fluid (0.9% saline, or sodium bicarbonate), which maintains renal perfusion and dilutes/clears contrast. Large trials (ACT, PRESERVE) found no consistent benefit from N-acetylcysteine.",N-acetylcysteine has not shown reliable benefit in large randomised trials.,,Prophylactic haemodialysis is not recommended to prevent contrast nephropathy and does not improve outcomes.,Mannitol/forced diuresis is not beneficial and may be harmful.
131,Renal,2,A patient with nephrotic syndrome is started on anticoagulation for renal vein thrombosis. Which anticoagulant requires dose adjustment based on serum albumin?,Warfarin,Rivaroxaban,Enoxaparin,Unfractionated heparin,A,"WARFARIN is >99% protein-bound to albumin, so in the severe hypoalbuminaemia of nephrotic syndrome the FREE (active) fraction rises, enhancing its anticoagulant effect. Doses may need to be lower and the INR monitored closely. DOACs have less albumin-binding variability in this setting.",,Rivaroxaban has more predictable pharmacokinetics and is not dose-adjusted for albumin in the way warfarin is.,"Enoxaparin is dosed by weight/renal function, not by serum albumin.",Unfractionated heparin is monitored by APTT and is not adjusted for albumin level.
132,Renal,1,Which investigation is essential before performing a renal biopsy?,Renal angiography,Clotting screen and platelet count,Intravenous urogram,Cystoscopy,B,"Before a percutaneous renal biopsy, the essential checks are a CLOTTING SCREEN (PT, APTT) and PLATELET COUNT (with group-and-save/crossmatch), because HAEMORRHAGE is the main complication. Blood pressure should be controlled and antiplatelets/anticoagulants stopped; ultrasound confirms two adequately sized kidneys.",Renal angiography is not a routine pre-biopsy requirement.,,An IV urogram is an outdated imaging test and not the essential pre-biopsy safety check.,Cystoscopy assesses the lower urinary tract and is irrelevant to native renal biopsy safety.
